弹幕,重复次数
见证历史,830.0
保护海洋,469.0
6,254.0
注意安全,237.0
保护地球！保护海洋！,193.0
保护海洋！,145.0
保护海洋！！！,115.0
保护地球保护海洋,112.0
保护海洋！保护地球！,111.0
逆天,97.0
众所周知，日本发明了最先进的核污染水处理技术，世界应该向日本学习,87.0
看完了,84.0
上热门,82.0
辐岛,79.0
1,77.0
？,67.0
666,64.0
保护海洋！！,62.0
保护海洋！保护海洋！保护海洋！,54.0
注意安全！,53.0
使徒来袭,51.0
有,49.0
保护地球，保护环境，保护海洋,48.0
保护海洋，保护地球,48.0
上热门！,48.0
保护海洋！！！保护地球！！！,48.0
支持,46.0
保护地球,45.0
注意安全啊,43.0
啊？,43.0
哎,42.0
赤裸裸的荼毒涂炭、赤裸裸的毁灭灭绝！,42.0
保护海洋！保护地球！保护海洋！保护地球！保护海洋！保护地球！保护海洋！保护地球！保护海洋！保护地球！保护海洋！保护地球！保护海洋！保护地球！保护海洋！保护地球！保护海洋！保护地球！保护海洋！保护地球！,40.0
卧槽,39.0
保护海洋!,39.0
保护地球，保护海洋,34.0
战地记者,34.0
保护地球！,34.0
保护海洋！保护海洋！保护海洋！保护海洋！保护海洋！,31.0
放射性核素可能多达千余种，有的目前无检测手段！,30.0
保护海洋！抵制日本！,30.0
甲级战犯,29.0
说得好,29.0
海纳百氚,29.0
《辐岛》,28.0
保护地球保护海洋！保护地球保护海洋！保护地球保护海洋！,28.0
看看水颜色比第一天排水的时候黑多少啊,28.0
保护海洋！！！！！,28.0
上热门！！！,28.0
坚决抵制日本排放核污染水,27.0
——放射性核素可能多达千余种，有的目前无检测手段！,27.0
畜牲,27.0
畜生,27.0
《承诺》,27.0
——核污染水排海=大灭绝开启！,27.0
核污水：使动物患疾病，   寿命大幅度缩短，严重致死。后代畸形，发育不良，严重情况下全部无法存活,26.0
世界可以没有日本，但不能没有海洋,26.0
保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋保护海洋,25.0
保护海洋保护海洋保护海洋,25.0
唉,25.0
只有一个地球！保护好我们唯一的家园！,24.0
核污染水排海——赤裸裸的荼毒涂炭、毁灭灭绝！,24.0
众所周知，日本发明了最先进的核污水处理技术，世界应该向日本学习。,24.0
保护全球海洋生态环境！,24.0
罪人,24.0
保护海洋！！！！,24.0
坚决抵制日本核污染水排放,24.0
？？？？？？？,23.0
保护海洋！保护海洋！保护海洋！保护海洋！,22.0
保护海洋！！保护地球！！,22.0
躬匠精神,22.0
苏联切尔洛贝利的处理方法,21.0
呵呵,21.0
保护海洋，保护地球！,21.0
  众所周知，日本发明了最先进的核污水处理技术，世界应该向日本学习,21.0
《良知》,21.0
笑死,21.0
狼狈为奸,21.0
《safe》,21.0
快上热门,20.0
海洋是另外一个世界，是数以万计生物的家园！坚决保护海洋生态！坚决保护地球家园！保护海洋！保护海洋！保护海洋！保护海洋！保护海洋！保护海洋！保护海洋！保护海洋！保护海洋！保护海洋！保护海洋！保护海洋！海,20.0
EVAの小曲,20.0
注意安全！！,20.0
勇士,20.0
说的好,19.0
好,19.0
全世界,19.0
注意安全！！！,19.0
保护地球！！！保护海洋！！！,19.0
《海纳百氚》,19.0
……,19.0
地球是我们人类唯一的家园！！！,18.0
坚决抵制核污水排放,18.0
保护地球保护海洋！！！,18.0
啊,18.0
全球,18.0
保护人类未来！,18.0
EVA,18.0
全人类的罪人,18.0
保护地球！！！保护海洋！！！保护地球！！！保护海洋！！,18.0
团结起来，全球人应该全面禁止抵制日本所有物品,17.0
保护,17.0
哈哈哈哈哈哈,17.0
【希望大家看完这个认真科普日本排放核污水的视频-哔哩哔哩】 https://b23.tv/jSlDGTA,17.0
保护地球保护海洋！保护地球保护海洋！保护地球保护海洋！保护地球保护海洋！保护地球保护海洋！保护地球保护海洋！,16.0
保护海洋，人人有责！！！,16.0
见证,16.0
寄,16.0
百氚东倒海,16.0
这下真的是氚流不息了。,16.0
见证历史！,16.0
哈哈哈,16.0
日本没了可以，但是还我太平洋！,16.0
《氚流不息》,16.0
《负全责》,16.0
核污水的基因变异具有遗传性，一次变异后代都携带此变异基因，彻底改变物种基因,16.0
氚流不息,15.0
死,15.0
畜生啊,15.0
保护地球！保护海洋！保护地球！保护海洋！保护地球！保护海洋！,15.0
抵制日本核污水排海,15.0
保护海洋! 保护家园! 保护海洋! 保护家园! 保护海洋! 保护家园! 保护海洋! 保护家园!,15.0
保护地球，还我海洋！！我要蔚蓝的大海！！健康的地球！！！这个世界不缺一个岛国！！我只想要大海！！！不想让大海的蔚蓝成为历史！！！！！！！！,15.0
坚决抵制,15.0
唉！,15.0
红豆泥私密马赛,15.0
人类补完计划,15.0
福光岛,15.0
《甲级战犯》,15.0
多少？,15.0
保护海洋！！保护地球！！！保护海洋！！保护地球！！！保护海洋！！保护地球！！！保护海洋！！保护地球！！！保护海洋！！保护地球！！！保护海洋！！保护地球！！！保护海洋！！保护地球！！！保护海洋！！保护地,14.0
支持开联合舰队过去,14.0
掩耳盗铃，自欺欺人,14.0
反人类,14.0
一坤年,14.0
英雄,14.0
守护海洋，保护海洋生物，守卫我们共同的家园，地球！,14.0
抵制日本,14.0
日本水,14.0
认真看,14.0
《智慧》,14.0
离谱,14.0
《很满意》,14.0
hhhh,14.0
确实,14.0
《基本达到》,14.0
众所周知，日本发明了最先进的核污染水处理技术， 世界应该向日本学习,14.0
看完,14.0
比基尼群岛,14.0
关键字 成本,14.0
呵,14.0
恶魔,14.0
嘴炮,14.0
啊这,14.0
还我们蔚蓝的大海,14.0
..,14.0
消灭日本,14.0
别放弃，坚持住,14.0
科学,14.0
完了,14.0
坚决保护海洋生态！坚决保护地球家园！,14.0
危,14.0
太可怕了,14.0
干它,14.0
打倒日本帝国主义,14.0
保护地球保护海洋！！,14.0
《科学》,14.0
保护地球保护海洋！,14.0
《百氚东倒海，核时复西归》,14.0
该,14.0
《满意》,14.0
坚决抵制日本核污水排海,14.0
日本罪人！,14.0
3000+,14.0
bgm好评,13.0
+,13.0
？？？？,13.0
父慈子孝,13.0
保护海洋！保护地球！保护海洋！保护地球！,13.0
《可以饮用》,12.0
《最终没喝》,12.0
保护海洋！！！保护海洋！！！保护海洋！！！,12.0
保护海洋，坚决抵制核污水排海！！,12.0
崇高的进化之神，请保佑我进化吧（虔诚）！ ,12.0
《绝不》,12.0
哥斯拉,12.0
保护海洋！救救我们自己！,12.0
保护地球！！！保护海洋！！！保护地球！！！保护海洋！！！,12.0
不是早就排了吗,12.0
有啥用 我就排 你咋滴,12.0
世界可以没有日本，但不能没有海洋！,12.0
东风快递，使命必达,12.0
保护地球 保护海洋！！！保护地球 保护海洋！！！保护地球 保护海洋！！！保护地球 保护海洋！！！保护地球 保护海洋！！！,12.0
大气环流降水，洋流，地球生态系统和生物链均会受到影响,12.0
为什么不阻止,12.0
太平洋不是日本的垃圾桶！！！！,12.0
坚决制止日本核污水排海计划！,12.0
夺少？,12.0
保护好自己,12.0
保护我们的海洋！,12.0
注意安全呀！！！,12.0
好漂亮,12.0
保护海洋保护地球,12.0
掩耳盗铃,12.0
排海是最差做打算，有不影响人的，但花费大，排海花费小，危害最大,12.0
？？？,12.0
？？？？？？,12.0
悲哀,11.0
畜牲啊,11.0
毁灭吧,11.0
哈哈哈哈,11.0
最喜欢的一集,11.0
暗影岛,11.0
私密马赛,11.0
日本鬼子,11.0
第三次冲击,11.0
好家伙,11.0
反人类罪,11.0
遗臭万年,11.0
害怕,11.0
yue,11.0
日本必将为自己的愚蠢之举付出应有的代价,10.0
美国下面的狗都支持,10.0
保护海洋！保护海洋！保护海洋！保护海洋！保护海洋！保护海洋！,10.0
应该全面禁止日本所有产品，不然他们会通过别的地方重新包装出售,10.0
漂亮国需要更多长期用药的癌症,10.0
何时开民智？,10.0
人类历史上一座崭新的斐济杯,10.0
建议给日本扔核弹，日本核攻击全世界灭绝全人类犯下第二次反人类罪,10.0
弹幕大军呢,10.0
环保少女出来挨打,10.0
环保少女就是个笑话,10.0
还有谁！！！,10.0
环保少女过来艾草,10.0
不是还有韩国啦,10.0
现在是收复日本的好时候,10.0
米国,10.0
保护地球，请融化南北极,10.0
日本首相这是在造大孽啊,10.0
没本事少说话,10.0
没本事少bb,10.0
上热门！！！！,10.0
日本人向全球投放生化武器,10.0
美国嘴巴肯定，然后进口日本产品一直在减少,10.0
美国之所以同意，因为美国也在排放,10.0
真贱啊,10.0
谴责没用的,10.0
世界可以没有日本和霉国，不能没有蓝色海洋,10.0
上热门！！,10.0
也就美国这个出生会赞成了,10.0
？？,10.0
这播放量怎么回事,10.0
B站股东是哪的别忘了，就这热度,10.0
哎，除了说说还能做啥，反正人家不要脸，随便说,10.0
韩国民众反对得挺厉害,10.0
因为美国早就排了,10.0
BGM好评,10.0
韩国,10.0
反对的国家也挺多的 德国好像就反对来着,10.0
@美国,9.0
反正今后不会吃海产品，等过几年全球都污染了，那时候就没忌口了,9.0
无所谓，一票否决,9.0
太平洋岛国也反对，奈何弱国没声量,9.0
来颗大伊万就老实了,9.0
那又如何？反对日本还需要很多国家吗？中国足以！,9.0
那到底中国是不是唯一反对的？太平洋岛国那几个不闹了？,9.0
真是,9.0
那些＝美国,9.0
东亚的孤儿不是浪得虚名的,9.0
放射性元素：哇，日本桑好喜欢我们啊，嘿嘿嘿，海啸！我命令你，把我卷回日本！这样他们会很高兴的吧！哈哈哈哈我人还怪好咧～,9.0
自己人都反对，where face,9.0
太平洋岛国不是国?斐济菲律宾不是国?韩国民众也反对啊，这时候就说只有中国了?,9.0
好的，加大力度全面禁止,9.0
一语双关啊,9.0
无耻日本！,9.0
美国：你直接点名就行，反正小日子也不敢说我,9.0
老子当年在高丽街1打16的时候就是你小子给他们造的军火吧！,9.0
日方说的鬼话,9.0
美国：勿cue,9.0
美国：就是我,9.0
美国：报我身份证得了,9.0
美国：是谁啊,9.0
大毛：唯一？？？,9.0
都不用等过多久，核污染水的危害一定会表现出来的，都不需要特别证明,9.0
可以他们听不懂中国话,9.0
真的是脸都不要了,9.0
真的是不要脸到家了！,9.0
美日不亡世界永不安全,9.0
自己国家的民众都抵制,9.0
日方说的虚假不真实，不符合实际标准,9.0
翻译:日本别把太平洋当自己家，谢谢,9.0
日方在放屁,9.0
只问一个问题:为什么不把这些水在日本国内消化掉？,9.0
那我们很荣幸,9.0
日子政府就是从古至今都是永远不可能负责任的,9.0
